film-slug
aguirre-the-wrath-of-god
moonstruck
philadelphia
the-heartbreak-kid-1972
where-is-the-friends-house
taste-of-cherry
black-christmas
between-the-temples
forgetting-sarah-marshall
inherent-vice
alien-romulus
twisters
the-hidden-fortress
jfk
platoon
la-collectionneuse
a-summers-tale
point-blank
aliens
the-proposal-2009
the-green-ray
stranger-than-paradise
kneecap
the-instigators
holes
the-lego-movie
everything-everywhere-all-at-once
dazed-and-confused
pirates-of-the-caribbean-dead-men-tell-no-tales
pirates-of-the-caribbean-on-stranger-tides
pirates-of-the-caribbean-at-worlds-end
pirates-of-the-caribbean-the-curse-of-the-black-pearl
pirates-of-the-caribbean-dead-mans-chest
magnolia
inside-out-2015
despicable-me-4
the-beast-2023-1
cheaper-by-the-dozen-2
cheaper-by-the-dozen-2003
edward-scissorhands
hit-man-2023
the-lego-batman-movie
but-im-a-cheerleader
the-bikeriders
mishima-a-life-in-four-chapters
pearl-2022
the-fault-in-our-stars
inside-out-2-2024
the-watchers-2024
maxxxine
the-swimmer
evil-does-not-exist
drive-my-car
ripley
holy-motors
starship-troopers
cloverfield
amadeus
manhunter
tangerine
starlet
metropolis
kingdom-of-the-planet-of-the-apes
mad-max
mad-max-2
capturing-the-friedmans
tell-me-who-i-am
the-act-of-killing
late-night-with-the-devil
the-imposter-2012
lethal-weapon
oceans-thirteen
black-mask
mystic-river
pacifiction
romancing-the-stone
cocoon
no-retreat-no-surrender
tokyo-story
la-chimera
okja
mother-2009
deliverance
up
deadpool-2
the-visit-2015
grizzly-man
austin-powers-international-man-of-mystery
paul-blart-mall-cop
pans-labyrinth
commando
lawrence-of-arabia
la-confidential
possession
the-conversation
bram-stokers-dracula
the-accountant-2016
dark-days
the-human-condition-iii-a-soldiers-prayer
high-and-low
harakiri
possum
normal-people-2020
the-verdict-1982
127-hours
love-lies-bleeding-2024
they-cloned-tyrone
porco-rosso
fallen-1998
judas-and-the-black-messiah
sister-act
twins
death-proof
grindhouse
timestalker
the-usual-suspects
the-last-repair-shop
life-of-brian
monty-python-and-the-holy-grail
you-dont-mess-with-the-zohan
following
mank
alien-3
how-to-train-your-dragon
bobi-wine-the-peoples-president
to-kill-a-tiger
ninety-five-senses
fury-2014
planet-of-the-apes
invincible-2022
knight-of-fortune
red-white-and-blue-2023
the-assassination-of-jesse-james-by-the-coward-robert-ford
perfect-days-2023
four-daughters-2023
lady-snowblood
the-greatest-showman
nyad
how-to-blow-up-a-pipeline
how-to-have-sex
priscilla
eternal-sunshine-of-the-spotless-mind
how-to-lose-a-guy-in-10-days
the-seventh-seal
persona
occupied-city
son-of-saul
hairspray
cecil-b-demented
driving-miss-daisy
sunset-boulevard
made-of-honor
flucht-aus-nordkorea
society-of-the-snow
maestro-2023
the-teachers-lounge-2023
the-barber-of-little-rock
thief
jawbreaker
insomnia-2002
fail-safe
network
barry-lyndon
bicycle-thieves
the-best-years-of-our-lives
the-parallax-view
certain-women
shadows-1958
shutter-island
gangs-of-new-york-2002
mean-streets
bringing-out-the-dead
infinity-pool
are-you-there-god-its-me-margaret
blow-up
dial-m-for-murder
andrei-rublev
mirror
solaris
la-haine
the-ballad-of-buster-scruggs
o-brother-where-art-thou
in-a-lonely-place
napoleon-2023
the-iron-claw-2023
shadows-in-paradise
badlands
ran
ikiru
dreams
fallen-leaves-2023
x-men-first-class
midnight-cowboy
the-delinquents-2023
a-thousand-and-one
all-of-us-strangers
passages-2023
the-boy-and-the-heron
the-taste-of-things
trading-places
blackkklansman
saltburn
the-hunger-games-the-ballad-of-songbirds-snakes
the-notebook
21-jump-street
shaun-of-the-dead
the-hangover
death-at-a-funeral
blacula
coming-to-america
cinema-paradiso
the-creator-2023
all-the-presidents-men
sideways
pain-and-glory
the-skin-i-live-in
all-about-my-mother
boyz-n-the-hood
poetic-justice
style-wars
a-man-escaped
burnt
mommy-2014
rio-bravo
thirteen
eighth-grade
bodies-bodies-bodies
rye-lane
blue-valentine
lion
the-evil-dead
rope
once-upon-a-time-in-america
the-holy-mountain
about-time
synecdoche-new-york
a-nightmare-on-elm-street
pleasantville
the-man-from-earth
four-lions
inside-2023
talk-to-me-2022
serpico
true-romance
the-idiots
the-tree-of-life-2011
office-space
instant-family
the-cabinet-of-dr-caligari-1920
tropic-thunder
the-royal-tenenbaums
wendy-and-lucy
the-iron-giant
the-celebration
vive-lamour
twin-peaks
y-tu-mama-tambien
et-the-extra-terrestrial
west-side-story-2021
minority-report
the-many-saints-of-newark
monsters-inc
the-empire-strikes-back
guardians-of-the-galaxy-vol-2
drive-2011
deadpool
star-wars
forrest-gump
the-truman-show
m
indiana-jones-and-the-last-crusade
paths-of-glory
kikis-delivery-service
neon-genesis-evangelion
michael-clayton
three-billboards-outside-ebbing-missouri
the-town
1917
victoria-2015
animal-house
jerrod-carmichael-rothaniel
come-and-see
au-revoir-les-enfants
ivans-childhood
dogville
seconds
beanpole
rango
hugo
casino
the-irishman-2019
raging-bull
jurassic-park
howls-moving-castle
over-the-garden-wall-2014
spaceballs
blazing-saddles
casino-royale-2006
titane
doubt
whats-eating-gilbert-grape
12-years-a-slave
trainspotting
once
dirty-harry
the-curious-case-of-benjamin-button
the-game
reality-2023
roma-2018
first-reformed
if-beale-street-could-talk
first-man
paddington-2
wildlife-2018
hereditary
le-havre
blackberry-2023
the-shop-around-the-corner
some-like-it-hot
what-happened-to-monday
nomadland
im-thinking-of-ending-things
a-dogs-way-home
rashomon
singin-in-the-rain
raiders-of-the-lost-ark
to-be-or-not-to-be
the-raid-2011
naked
shame-2011
into-the-wild
portrait-of-a-lady-on-fire
cast-away
chimp-empire
night-at-the-museum
my-cousin-vinny
toy-story
braveheart
apocalypto
the-assistant-2019
jeen-yuhs-a-kanye-trilogy
fallen-angels
night-on-earth
old-joy
popstar-never-stop-never-stopping
all-my-friends-hate-me
coherence
triangle-2009
air-2023
the-hunt-2012
dungeons-dragons-honor-among-thieves
the-year-between
the-fallout
next-goal-wins-2023
greener-grass-2019
the-lighthouse-2019
little-women-2019
roadrunner-a-film-about-anthony-bourdain
paris-texas
the-king-of-comedy
after-hours
ratatouille
end-of-watch
midsommar
encanto
beau-is-afraid
eyes-wide-shut
five-feet-apart
demolition
a-bronx-tale
the-perks-of-being-a-wallflower
american-history-x
schindlers-list
the-green-mile
boyhood
taxi-driver
before-sunrise
moonlight-2016
sound-of-metal
500-days-of-summer
hachi-a-dogs-tale
vertigo
paprika-2006
princess-mononoke
spirited-away
the-matrix
the-power-of-the-dog
another-round
the-apartment
climax-2018
mysterious-skin
nowhere
luca-2021
it-chapter-two
the-pink-panther
the-umbrellas-of-cherbourg
the-hot-rock
bay-of-angels
bo-burnham-inside
playtime
the-conjuring-2
the-conjuring
mother-2017
irreversible
decision-to-leave
great-freedom
funny-pages
ai-artificial-intelligence
tick-tick-boom-2021
the-long-goodbye
the-good-the-bad-and-the-ugly
training-day
last-night-in-soho
the-silence-of-the-lambs
the-hours
extremely-loud-incredibly-close
the-aviator
ordinary-people
precious
amelie
lars-and-the-real-girl
the-sons-room
a-streetcar-named-desire
the-lord-of-the-rings-the-return-of-the-king
game-night
the-trial-of-the-chicago-7
donnie-darko
the-whale-2022
tim-dillon-a-real-hero
speed-racer
seven-samurai
crumb
yi-yi
the-host
rear-window
in-bruges
jarhead
jackie-brown
django-unchained
norm-macdonald-hitlers-dog-gossip-trickery
nashville
blow-out
the-master-2012
batman-begins
the-dark-knight-rises
silence
twin-peaks-fire-walk-with-me
eraserhead
ratcatcher
walk-the-line
fight-club
invisible-life
john-wick-chapter-4
swiss-army-man
women-talking
joyland-2022
cha-cha-real-smooth
guillermo-del-toros-pinocchio
le-pupille
a-house-made-of-splinters
fire-of-love-2022
all-that-breathes
the-red-suitcase-2022
an-irish-goodbye
match-point
the-secret-life-of-walter-mitty-2013
red-rocket-2021
mandy-2018
bros
raw-2016
the-square-2017
were-all-going-to-the-worlds-fair
the-fabelmans
baby-driver
sonic-the-hedgehog-2
lightyear-2022
avatar-the-way-of-water
amsterdam-2022
the-wonder
turning-red
elvis-2022
the-northman
see-how-they-run-2022
barbarian-2022
black-panther-wakanda-forever
morbius
bones-and-all
the-pale-blue-eye
the-king-2019
southpaw-2015
babylon-2022
panic-room
brick
coda-2021
slumdog-millionaire
the-gift-2015-1
moneyball
the-maltese-falcon-1941
being-john-malkovich
10-cloverfield-lane
pride-2014
the-gentlemen
the-farewell-2019
jojo-rabbit
the-pianist
saturday-night-fever
the-death-of-stalin
room-237
the-devil-wears-prada
weekend-at-bernies
the-big-short
licorice-pizza
a-ghost-story-2017
boogie-nights
talladega-nights-the-ballad-of-ricky-bobby
paddington
the-way-way-back
bullet-train
enemy
national-treasure
stalker
a-clockwork-orange
mud
hacksaw-ridge
honey-boy
emergency-2022
thor-love-and-thunder
the-call-2020-3
the-place-beyond-the-pines
point-break
the-graduate
dallas-buyers-club
the-big-lebowski
